"station_id","station_name","lon","lat","city","city_sn","town","town_sn"
"C0A940","金山","121.635556","25.225278","新北市","06","金山區","003"
"C0U980","坪林石牌","121.76575","24.866578","宜蘭縣","07","頭城鎮","051"
"C0R190","赤山","120.60625","22.594139","屏東縣","20","萬巒鄉","319"
"C0F9A0","中竹林","120.743333","24.105556","臺中市","02","太平區","130"
"C0AH70","松山","121.542203","25.050492","臺北市","01","松山區","031"
"C0T9D0","和中","121.732861","24.268567","花蓮縣","21","秀林鄉","108"
"C0E520","大湖","120.862694","24.4167","苗栗縣","11","大湖鄉","103"
"C0O930","玉井","120.452472","23.127833","臺南市","04","玉井區","254"
"C0S740","池上","121.201667","23.121389","臺東縣","22","池上鄉","257"
"C0T870","鯉魚潭","121.500806","23.937444","花蓮縣","21","壽豐鄉","161"
"C0C460","復興","121.344094","24.822","桃園市","08","復興區","067"
"C0I390","仁愛","121.124056","24.023903","南投縣","13","仁愛鄉","122"
"C0B020","基隆嶼","121.775678","25.1932","基隆市","03","中正區","011"
"C0F860","梨山","121.237667","24.245","臺中市","02","和平區","104"
"C0U890","三星","121.644819","24.669917","宜蘭縣","07","三星鄉","084"
"C0G800","埔鹽","120.423583","24.002167","彰化縣","14","埔鹽鄉","151"
"C0F850","東勢","120.824917","24.248194","臺中市","02","東勢區","113"
"C0AH50","林口","121.372611","25.073953","新北市","06","林口區","016"
"C0C620","蘆竹","121.2575","25.086111","桃園市","08","蘆竹區","020"
"C0X290","北門","120.117367","23.269517","臺南市","04","北門區","237"
"C0Z160","鳳林","121.445278","23.747917","花蓮縣","21","鳳林鎮","184"
"C0M650","朴子","120.230928","23.436364","嘉義縣","17","朴子市","222"
"C0AD40","土城","121.436917","24.974944","新北市","06","土城區","049"
"C0R540","佳冬","120.544222","22.421194","屏東縣","20","佳冬鄉","341"
